pre_date,pre_ch,current_date,project_id,interval
2022-06-13 15:00:00,289.51904,2022-08-18 20:30:50,0,1H
2022-07-21 07:00:00,540.73944,2022-08-18 20:30:50,0,1H
2022-07-21 08:00:00,756.587,2022-08-18 20:30:50,0,1H
2022-07-21 09:00:00,540.3646,2022-08-18 20:30:50,0,1H
2022-07-21 10:00:00,568.1372,2022-08-18 20:30:50,0,1H
2022-07-21 11:00:00,555.28326,2022-08-18 20:30:50,0,1H
2022-07-21 12:00:00,565.0056,2022-08-18 20:30:50,0,1H
2022-07-21 13:00:00,576.3402,2022-08-18 20:30:50,0,1H
2022-07-21 14:00:00,529.7623,2022-08-18 20:30:50,0,1H
2022-07-21 16:00:00,539.84283,2022-08-18 20:30:50,0,1H
2022-07-21 17:00:00,378.96503,2022-08-18 20:30:50,0,1H
2022-07-22 07:00:00,534.49896,2022-08-18 20:30:50,0,1H
2022-07-22 08:00:00,588.0545,2022-08-18 20:30:50,0,1H
2022-07-22 09:00:00,393.55264,2022-08-18 20:30:50,0,1H
2022-07-22 10:00:00,544.0996,2022-08-18 20:30:50,0,1H
2022-07-22 11:00:00,538.5612,2022-08-18 20:30:50,0,1H
2022-07-22 12:00:00,548.9782,2022-08-18 20:30:50,0,1H
2022-07-22 13:00:00,471.8311,2022-08-18 20:30:50,0,1H
2022-07-22 14:00:00,548.57623,2022-08-18 20:30:50,0,1H
2022-07-22 15:00:00,587.7459,2022-08-18 20:30:50,0,1H
2022-07-22 16:00:00,675.1858,2022-08-18 20:30:50,0,1H
2022-07-22 17:00:00,410.93582,2022-08-18 20:30:50,0,1H
2022-07-25 07:00:00,550.8134,2022-08-18 20:30:50,0,1H
2022-07-25 08:00:00,567.72125,2022-08-18 20:30:50,0,1H
2022-07-25 09:00:00,563.5797,2022-08-18 20:30:50,0,1H
2022-07-25 10:00:00,613.6962,2022-08-18 20:30:50,0,1H
2022-07-25 11:00:00,600.9756,2022-08-18 20:30:50,0,1H
2022-07-25 12:00:00,578.8377,2022-08-18 20:30:50,0,1H
2022-07-25 13:00:00,598.63544,2022-08-18 20:30:50,0,1H
